epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4570.5,1.05874,0.68141,1.12113,0.94636,0.87356,0.92465,0.53041,1.48103,0.78644,1.28939,0.000614,0.000614,0.000614
44,4679.27,1.00864,0.64435,1.09423,0.92472,0.8472,0.92572,0.53231,1.43679,0.82692,1.27077,0.000581,0.000581,0.000581
45,4786.98,0.9945,0.65674,1.09392,0.93859,0.86207,0.92522,0.52646,1.52318,0.81162,1.31484,0.000548,0.000548,0.000548
46,4888.46,0.99659,0.63761,1.0939,0.9526,0.83908,0.93203,0.53916,1.45089,0.78636,1.30472,0.000515,0.000515,0.000515
47,4987.38,1.01209,0.6437,1.12971,0.9332,0.85057,0.92276,0.52747,1.49344,0.85808,1.34341,0.000482,0.000482,0.000482
48,5080.59,1.00859,0.65148,1.1032,0.9284,0.86207,0.92453,0.51311,1.47614,0.79349,1.31636,0.000449,0.000449,0.000449
49,5184.84,1.0065,0.62182,1.11285,0.9497,0.86821,0.94953,0.55544,1.37615,0.73316,1.26929,0.000416,0.000416,0.000416
50,5282.06,0.96452,0.61198,1.09772,0.92532,0.85456,0.93353,0.54435,1.43362,0.73732,1.2659,0.000383,0.000383,0.000383
51,5373.57,0.98186,0.63736,1.10708,0.84125,0.89655,0.91676,0.52148,1.46631,0.81883,1.2842,0.00035,0.00035,0.00035
52,5467.44,0.93762,0.59696,1.0827,0.88455,0.88069,0.91594,0.49187,1.47683,0.78668,1.29367,0.000317,0.000317,0.000317
53,5570.35,0.92685,0.59128,1.09356,0.93249,0.88506,0.9408,0.52567,1.42638,0.76735,1.28419,0.000284,0.000284,0.000284
54,5697.71,0.89205,0.57148,1.06168,0.94979,0.86975,0.93658,0.5225,1.4595,0.76254,1.30729,0.000251,0.000251,0.000251
55,5814.37,0.89364,0.5587,1.05258,0.9498,0.86989,0.92454,0.51172,1.48043,0.78721,1.30615,0.000218,0.000218,0.000218
56,5937.35,0.86038,0.54748,1.03888,0.91616,0.86207,0.91232,0.51642,1.48032,0.80845,1.31336,0.000185,0.000185,0.000185
57,6062.19,0.855,0.54709,1.0272,0.94315,0.82759,0.91465,0.51501,1.48717,0.80376,1.32037,0.000152,0.000152,0.000152
58,6168.47,0.87497,0.54461,1.03477,0.94916,0.82759,0.89935,0.51176,1.49635,0.81357,1.32317,0.000119,0.000119,0.000119
59,6238.04,0.88242,0.54691,1.04402,0.95003,0.82759,0.90278,0.50963,1.48344,0.80613,1.31797,8.6e-05,8.6e-05,8.6e-05
60,6324.35,0.84372,0.53598,1.05886,0.9459,0.82759,0.90287,0.51695,1.4778,0.79964,1.31616,5.3e-05,5.3e-05,5.3e-05
